trial,accuracy,duration_s,cost_impossible,cost_minor,cost_no_match,gap_general_severe,gap_minor_general,ged_timeout,norm_angle,norm_cycle,norm_hdir,norm_x,norm_y,simplification_epsilon,skel_threshold
80,0.762076,156,21.274148273920645,0.26945290107622183,1.3018894459202384,0.19947072627754447,0.16476893488119884,13.206492131279846,251.5459496921619,2.3875679742590994,1.4141905697986596,4.482370633594108,3.326911516110782,4.625519300872277,150
81,0.754882,115,32.13317931341976,0.2620476670293776,1.353213621373731,0.2274505552719504,0.08892017351671688,10.349799489428667,293.5108014940913,2.617305560602318,2.0772665891552022,4.401721999034521,2.999672682723079,5.212226854025211,130
82,0.747044,154,12.162677081186315,0.27047760164589063,1.302989664913178,0.17544093527711602,0.09521334048946807,11.734198993524425,300.01736743905235,2.117856441009059,1.3750512497744114,4.170086102180999,3.482110986134941,4.91376281906739,130
83,0.746660,144,15.547618931703928,0.3009387652841863,1.2434977648787036,0.24344566452639482,0.17808846723325383,9.187284672055876,247.31063337092084,2.9415563494411323,1.501300634861865,3.4064161480361137,3.3707512113856297,4.833834595212727,140
84,0.741007,165,16.58434857839509,0.23444234104762623,1.1791404120638658,0.17786826095063463,0.1340139419859725,10.841492693837935,322.0510208718688,1.9588831062716558,1.4527735168312506,3.7128687024971065,2.5813550032948696,3.9023345138094245,150
85,0.750000,256,22.325216843884302,0.24903507339230196,1.4500203546292498,0.12179253280899967,0.2080646049693587,11.024680925981942,219.21101173554737,3.2369972084956595,1.7560611614195163,3.9995826203239675,2.780093036851562,3.579021197530334,150
86,0.764887,129,10.491226535969897,0.22910993392533158,1.2651919874898068,0.1304252952073039,0.2030837555684209,8.088556230634644,214.5833667938158,2.2379247075301456,1.4572111880253549,3.8897182603436535,2.6141106601179542,4.879410858704374,140
87,0.766034,172,13.580104578873735,0.24304122650085436,1.1663957518550605,0.16026320794738763,0.14743415200164772,11.185172692627578,261.20503556961137,2.9618902908843823,2.2519825578579766,3.9846731318054713,3.616617981598854,4.10070090391725,130
88,0.754107,112,9.486027586459128,0.25411766910225436,1.3119496792352285,0.23939440509850812,0.18622667059813147,11.069653060492818,236.94397624169488,1.9847940659699779,1.9145429378153322,4.392230005852918,2.5414223227943156,5.487677164100268,140
89,0.749231,135,21.847012631461542,0.26631116927929493,1.2664252686595676,0.21186600647514098,0.15812204043722367,10.637744187730268,298.24733741067155,2.9486995346564147,1.7154400434889439,3.8460564915028677,2.9163337639020526,4.726209048278138,140
90,0.748971,146,11.50036422529133,0.27255642276338493,1.2761894068952266,0.20547935708893322,0.13318611979716832,10.926688936706178,230.9272472375153,2.4010366820147517,2.0836042766666862,3.7260775391660372,2.800110072601708,4.343097862125054,140
