trial,accuracy,state,duration_seconds,cost_impossible,cost_minor,cost_no_match,gap_general_severe,gap_minor_general,ged_timeout,norm_angle,norm_cycle,norm_hdir,norm_vdir,norm_x,norm_y,simplification_epsilon,skel_threshold,use_angle_with_ox,use_cycle_count,use_horizontal_direction,use_normalized_x,use_normalized_y,use_vertical_direction
108,0.6915,COMPLETE,171.4,61.741148,0.307644,0.946039,0.253238,0.2466,11.182894,316.800514,3.069215,2.866866,1.510359,2.375274,4.065362,4.815052,140,1,1,1,1,0,0
109,0.7072,COMPLETE,181.6,5.029641,0.233532,1.206581,0.159311,0.202176,8.063289,308.054201,3.361321,2.476113,1.708784,3.252371,3.121954,5.637545,150,1,1,1,1,0,1
110,0.6324,COMPLETE,2240.9,3.580003,0.224851,1.125145,0.182384,0.254619,12.961594,224.369416,2.717736,2.47103,2.488751,3.279507,3.426318,0.960118,130,1,1,1,1,0,0
111,0.6745,COMPLETE,106.6,23.064757,0.232378,0.897815,0.201632,0.192834,6.403438,202.465968,3.181041,2.044795,1.404932,2.950835,2.347378,6.833692,150,1,1,1,1,0,0
112,0.7028,COMPLETE,405.1,8.861088,0.252108,0.875649,0.232585,0.180401,9.783556,202.883609,1.286161,2.091625,2.15994,2.59463,3.566799,3.797191,150,1,1,1,1,0,0
113,0.6997,COMPLETE,301.0,5.833107,0.193304,0.808991,0.215229,0.221393,12.406195,210.793626,3.474182,2.145514,1.955186,4.065858,3.115096,3.36416,110,1,1,1,1,0,0
114,0.7166,COMPLETE,181.0,38.554612,0.212621,0.864362,0.227024,0.235551,10.383302,241.69373,3.065026,2.065783,2.657042,2.455861,1.981279,4.367028,140,1,1,1,1,0,0
115,0.7243,COMPLETE,269.2,7.671723,0.265509,1.182439,0.216085,0.179648,9.246908,303.766955,2.788986,1.403437,1.679939,2.676139,2.468741,4.227073,140,1,1,1,1,0,1
116,0.7088,COMPLETE,516.0,5.992283,0.258966,0.840127,0.191382,0.172847,9.016899,174.786499,2.853264,1.855726,1.706588,1.934616,4.306015,2.936287,150,1,1,1,1,0,1
117,0.6826,COMPLETE,109.4,9.059428,0.225953,1.060109,0.180838,0.219345,12.60849,196.366175,2.967801,1.983666,1.693985,2.525235,2.211152,6.654765,140,1,1,1,1,0,0
118,0.7081,COMPLETE,255.6,5.350837,0.253104,1.049226,0.238819,0.135776,12.198408,165.669599,4.918841,1.962967,2.112123,1.702261,2.49868,4.306966,140,1,1,1,1,0,0
119,0.7098,COMPLETE,120.4,23.789993,0.226904,0.994676,0.196121,0.192502,10.536186,196.97684,3.308417,2.309462,1.62193,3.358514,2.983546,5.730153,140,1,1,1,1,0,1
