trial_number,value,fold,diagnostic_weight_epsilon,norm_normalized_x,norm_normalized_y,norm_distance_to_centroid,norm_horizontal_direction,norm_vertical_direction,norm_angle_with_ox,norm_junction_angle_min,norm_length_ratio_to_max,norm_eccentricity,norm_avg_neighbor_vector_length,norm_neighbor_endpoint_count,norm_neighbor_junction_count
59,0.780237,3,1.2718,3.9149,4.3321,0.8396,4.3119,2.9619,327.1217,203.9938,2.6151,10.5731,61.1505,2.6409,4.7628
60,0.763889,0,1.3938,2.3184,3.2298,0.6214,3.0808,5.2282,332.0279,212.9487,2.9599,7.359,78.4268,4.8015,4.547
61,0.780463,1,1.1607,3.7866,4.1198,1.5045,2.2724,3.9943,224.2061,225.3081,2.0786,10.0139,74.9928,5.1506,3.4277
62,0.779548,2,0.9597,3.8927,3.9091,1.2078,2.4736,2.6038,320.3315,210.8652,0.6376,6.3155,74.0617,4.8315,4.4971
63,0.773663,3,1.1922,5.0794,4.2443,1.1973,1.4331,4.1637,228.6526,249.2491,1.8028,8.5199,50.435,5.7606,4.4528
64,0.777263,0,1.2092,7.3041,2.7916,1.0464,2.7185,4.5284,245.981,203.0991,2.675,10.6227,54.5347,3.5855,6.8522
65,0.794964,1,0.8343,3.7213,3.3552,0.8254,3.2949,3.3861,251.382,272.9963,2.6915,12.2858,39.7049,4.8118,4.806
66,0.770298,2,0.7629,4.051,5.6638,1.7758,4.199,2.6388,276.4636,224.9459,2.0589,13.221,31.2532,2.0347,3.2853
67,0.779949,3,0.9508,5.0684,5.0698,1.215,2.019,2.6508,288.6831,193.8257,2.6807,10.1935,49.1361,2.9231,3.6986
68,0.773381,0,0.9203,4.0793,4.3954,1.7183,1.3526,2.7865,201.9498,309.9675,2.7274,10.4739,63.63,6.7826,4.2587
69,0.786927,1,1.1305,4.5192,1.5687,1.4491,1.8695,4.112,204.0438,185.366,3.2316,8.3355,38.0616,6.2048,5.6464
70,0.766581,2,0.8573,5.3538,2.8556,1.532,1.7381,2.6818,232.5798,168.4847,3.1172,10.7906,47.7696,5.9747,5.6758
71,0.774923,3,0.8685,4.239,5.4509,2.0605,2.8492,4.7911,279.7565,124.0112,2.6845,8.8168,64.463,5.3028,2.8206
72,0.763374,0,1.0676,2.5063,5.1279,1.2181,2.4946,2.8184,255.0929,278.5615,1.2408,10.527,46.6475,5.0842,4.1501
73,0.781781,1,1.0453,3.3841,7.6779,0.829,2.3449,2.3094,227.0612,218.9879,1.7419,9.0427,64.1363,7.7852,4.9966
74,0.780062,2,1.1063,2.6553,5.1122,2.0829,1.8714,4.6337,245.8764,238.3527,2.9501,11.1661,50.2141,4.1673,6.5937
75,0.777892,3,1.2272,1.714,3.0996,1.1817,2.1644,3.7541,220.9355,241.2858,3.5928,11.0246,42.0007,6.1323,5.3015
76,0.769666,0,0.9689,3.1127,4.1826,1.5098,1.8876,2.3282,209.1103,257.1274,3.1586,9.8669,49.267,6.2707,4.4936
77,0.779094,1,0.9826,2.884,5.5923,2.1252,1.9393,2.8568,275.7909,184.6878,3.5885,13.9103,42.3959,4.5911,3.9521
78,0.776296,2,0.798,3.5098,1.9255,2.1745,4.3808,4.533,194.8242,215.8111,3.05,10.0402,54.6544,3.7525,5.7058
79,0.776978,3,0.6331,3.6111,3.2697,1.191,3.0762,5.3175,298.1832,290.1735,2.3029,9.9363,33.4927,5.7142,3.3409
80,0.753862,0,0.9802,1.9182,3.83,1.9748,1.6939,3.0483,199.8417,252.1303,1.811,7.1146,49.1515,4.1416,5.751
81,0.783325,1,1.0542,4.1887,2.3272,1.1324,1.4469,3.2529,215.2598,161.4889,3.7219,4.3414,48.2675,4.9193,6.6415
82,0.772984,2,0.7546,1.2182,2.6093,3.6204,2.1357,3.4951,234.2453,178.5388,3.0864,10.6836,34.8745,4.9954,6.8678
83,0.777378,3,1.0738,3.2801,3.6612,1.1483,1.4268,4.1064,200.5735,227.5919,2.8656,14.313,42.8597,5.4492,4.3787
84,0.762738,0,1.3815,3.4234,5.2541,0.9677,1.7615,3.3971,162.8088,289.4286,3.14,13.2569,48.5149,6.737,5.6305
85,0.783325,1,0.8387,2.2204,3.4572,2.1292,3.2052,2.9635,178.9532,245.4663,1.989,12.8587,42.1783,4.2448,5.7192
